frame,v1_id,v1_class,v2_id,v2_class,conflict_world_x,conflict_world_y,conflict_px_x,conflict_px_y,aggressor_id,passive_id,angular_says,ttc_says,methods_agree,ttc1_sec,ttc2_sec
568,7725,two wheeler,8980,two wheeler,35.8833,19.6775,717.7,393.5,7725,8980,uncertain,v1,True,2.029,4.479
572,6657,hatchback,9414,three wheeler,44.0597,23.2058,881.2,464.1,6657,9414,uncertain,v1,True,1.307,3.601
585,6070,two wheeler,9588,two wheeler,49.3455,25.0581,986.9,501.2,6070,9588,uncertain,v1,True,3.595,5.772
627,9564,two wheeler,9823,three wheeler,52.1201,38.1794,1042.4,763.6,9823,9564,uncertain,v2,True,0.866,0.776
664,10325,two wheeler,10553,two wheeler,48.5722,32.2185,971.4,644.4,10553,10325,uncertain,v2,True,3.697,1.849
670,9695,two wheeler,10553,two wheeler,42.8606,33.2562,857.2,665.1,10553,9695,uncertain,v2,True,6.677,5.817
675,10324,two wheeler,10325,two wheeler,48.0477,30.5647,961.0,611.3,10324,10325,uncertain,v1,True,1.619,2.134
701,9695,suv,10324,two wheeler,42.0527,31.815,841.1,636.3,10324,9695,uncertain,v2,True,6.736,5.178
701,9695,suv,10979,two wheeler,42.3678,32.3967,847.4,647.9,10979,9695,uncertain,v2,True,6.329,6.203
701,10190,three wheeler,10835,three wheeler,53.5659,26.1928,1071.3,523.9,10190,10835,uncertain,v1,True,1.212,2.678
747,10324,three wheeler,11517,two wheeler,41.5467,31.69,830.9,633.8,11517,10324,uncertain,v2,True,3.581,2.028
748,11295,two wheeler,11517,lcv,34.2606,24.4556,685.2,489.1,11295,11517,uncertain,v1,True,2.825,5.279
756,10324,two wheeler,10553,lcv,43.5237,31.4591,870.5,629.2,10324,10553,uncertain,v1,True,2.281,2.374
757,8362,suv,11517,three wheeler,33.6481,24.2733,673.0,485.5,11517,8362,uncertain,v2,True,6.725,4.685
761,10324,two wheeler,10805,two wheeler,41.3442,31.6916,826.9,633.8,10805,10324,uncertain,v2,True,3.224,0.727
769,10805,two wheeler,11788,suv,37.0998,23.2268,742.0,464.5,11788,10805,uncertain,v2,True,2.932,0.478
770,11295,suv,11788,two wheeler,35.6871,24.4492,713.7,489.0,11788,11295,uncertain,v2,True,3.478,1.408
785,9695,suv,11984,three wheeler,40.5088,31.7253,810.2,634.5,11984,9695,uncertain,v2,True,6.019,4.721
785,10553,two wheeler,11984,three wheeler,42.6969,31.4731,853.9,629.5,10553,11984,uncertain,v1,True,1.897,2.89
806,9054,lcv,12144,two wheeler,41.7803,31.3111,835.6,626.2,12144,9054,uncertain,v2,True,6.741,6.28
811,9695,three wheeler,12144,two wheeler,40.3491,31.5462,807.0,630.9,9695,12144,v1,v1,True,4.987,6.996
813,11900,two wheeler,12144,two wheeler,42.5262,31.2891,850.5,625.8,12144,11900,uncertain,v2,True,5.841,5.666
