d_t1,theta_t1,d_t2,theta_t2,d_t3,theta_t3,d_t4,theta_t4,d_t5,theta_t5,d_t6,theta_t6,d_t7,theta_t7,d_t8,theta_t8,d_t9,theta_t9,d_t10,theta_t10,d_t11,theta_t11,d_t12,theta_t12,d_t13,theta_t13,v_rel
2.1004661220786227,-0.4368601266273735,2.190518815258155,-0.5804056973539592,2.2145914950617858,-0.7204399279715137,2.295268308934711,-0.8467119972205823,2.7233952504181254,-0.9147223451860053,2.838714189558364,-0.9777620119262187,1.8640257616245515,-1.565538864506166,2.010174681464275,2.3257622202164954,1.826985560971951,2.3767861906153325,2.553040575470747,-1.1596710153244114,2.4642342116771285,0.30500309896304134,2.091461044341967,0.10427880028870207,1.9326007683947548,-0.049849869431874666,-2.7908999999999997
2.13256072598179,-0.4682611864169899,2.2149246217422403,-0.6105188377564246,2.166567432599314,-0.7475952915119335,2.374831501391203,-0.8582924233464015,2.7539668280500367,-0.9214635969144075,2.9289939842888018,-1.1307865648737454,1.744060532206381,-1.60032941135275,1.9591923080698355,2.33345472824527,1.0969896991312198,-1.5521989087871766,2.549069014365832,-1.1342402661266235,2.3818828959459792,0.16711576579155893,2.0500973854917244,0.21246287336584602,1.880736890157684,-0.06304898188315472,-3.4132
4.112402307654251,-2.231694471056401,4.089855147801689,-2.225897128527659,4.173163368477201,-2.156107280975983,4.368566324321975,-2.1111333865111956,4.851763173321635,-2.1255285924562624,3.9411292924744314,-2.9203889879596248,3.9411292924744314,-2.9203889879596248,4.800921919798321,-1.8982642663295268,4.800921919798321,-1.8982642663295268,1.5987085819498195,-1.7514218932792913,1.6717169915987553,-1.9174055196625075,1.693523675653811,-2.091832050323414,1.7425158937582177,-2.1848415079555386,8.9799
4.089855147801689,-2.225897128527659,4.173163368477201,-2.156107280975983,4.368566324321975,-2.1111333865111956,4.851763173321635,-2.1255285924562624,3.9411292924744314,-2.9203889879596248,3.9411292924744314,-2.9203889879596248,4.800921919798321,-1.8982642663295268,4.800921919798321,-1.8982642663295268,1.5987085819498195,-1.7514218932792913,1.6717169915987553,-1.9174055196625075,1.693523675653811,-2.091832050323414,1.7425158937582177,-2.1848415079555386,6.636083794678905,3.085913597213707,1.8155000000000001
1.5987085819498195,-1.7514218932792913,1.6717169915987553,-1.9174055196625075,1.693523675653811,-2.091832050323414,1.7425158937582177,-2.1848415079555386,6.636083794678905,3.085913597213707,6.636083794678905,3.085913597213707,7.327203998797906,3.0707013603520688,7.757315716792764,3.054183149716401,7.654873512344926,2.827637496950868,7.654873512344926,2.827637496950868,8.455895091591428,2.8051444255288884,9.573683485994298,3.0149392979868437,9.98038308282803,2.9939482426562467,0.7275
1.6932212761479226,-2.1221649969954615,1.8228424616515813,-2.249392696376266,6.848521003107165,3.0782812314733206,6.848521003107165,3.0782812314733206,7.525503009101789,3.0630453943335634,7.722229554345043,2.823154986085074,7.966972050283596,2.7838929424248606,7.966972050283596,2.7838929424248606,9.283986853178972,2.999560026833894,9.731327174132003,2.9974444993986378,10.105551530223371,2.990026701928117,10.537025008986172,2.986775824696178,11.011537702791562,2.977878721124213,8.5373
1.8228424616515813,-2.249392696376266,6.848521003107165,3.0782812314733206,6.848521003107165,3.0782812314733206,7.525503009101789,3.0630453943335634,7.722229554345043,2.823154986085074,7.966972050283596,2.7838929424248606,7.966972050283596,2.7838929424248606,9.283986853178972,2.999560026833894,9.731327174132003,2.9974444993986378,10.105551530223371,2.990026701928117,10.537025008986172,2.986775824696178,11.011537702791562,2.977878721124213,9.888421271871465,2.9015930395910394,1.0978
6.848521003107165,3.0782812314733206,6.848521003107165,3.0782812314733206,7.525503009101789,3.0630453943335634,7.722229554345043,2.823154986085074,7.966972050283596,2.7838929424248606,7.966972050283596,2.7838929424248606,9.283986853178972,2.999560026833894,9.731327174132003,2.9974444993986378,10.105551530223371,2.990026701928117,10.537025008986172,2.986775824696178,11.011537702791562,2.977878721124213,9.888421271871465,2.9015930395910394,10.282027742133357,2.916740892683012,1.2948000000000002
7.525503009101789,3.0630453943335634,7.525503009101789,3.0630453943335634,7.722229554345043,2.823154986085074,7.966972050283596,2.7838929424248606,7.966972050283596,2.7838929424248606,9.283986853178972,2.999560026833894,9.731327174132003,2.9974444993986378,10.105551530223371,2.990026701928117,10.537025008986172,2.986775824696178,11.011537702791562,2.977878721124213,9.888421271871465,2.9015930395910394,10.282027742133357,2.916740892683012,10.603185111088083,2.9308056152107267,1.4087
2.7882173301233193,0.9208824745060495,2.7882173301233193,0.9208824745060495,2.7882173301233193,0.9208824745060495,2.8582095794395466,0.9298842542711738,2.7776552575868747,0.9397448887105729,2.7510759949517967,0.961994061162231,2.701250986117357,0.9782862892478297,1.9897427371396526,1.7117836187570095,2.204917798921313,1.7846296395400933,2.5597548085705393,1.860891081149027,3.0007214015966244,1.940293395281856,3.262766018273456,2.0031741338537876,3.6555337695061745,2.07677356478499,1.1343
